lat,lon
50.264758,-3.867545
50.264777,-3.867481
50.264805,-3.867413
50.264839,-3.867354
50.264871,-3.867295
50.264919,-3.867251
50.264970,-3.867214
50.265015,-3.867200
50.265065,-3.867175
50.265117,-3.867170
50.265165,-3.867194
50.265216,-3.867216
50.265269,-3.867223
50.265324,-3.867232
50.265371,-3.867225
50.265416,-3.867213
50.265460,-3.867175
50.265508,-3.867151
50.265563,-3.867169
50.265601,-3.867219
50.265644,-3.867237
50.265700,-3.867206
50.265742,-3.867165
50.265784,-3.867120
50.265840,-3.867093
50.265888,-3.867079
50.265943,-3.867083
50.265989,-3.867105
50.266030,-3.867139
50.266069,-3.867185
50.266124,-3.867192
50.266173,-3.867159
50.266217,-3.867126
50.266263,-3.867099
50.266309,-3.867050
50.266349,-3.867016
50.266401,-3.867007
50.266448,-3.867009
50.266512,-3.867007
50.266560,-3.867027
50.266613,-3.867043
50.266657,-3.867057
50.266709,-3.867075
50.266763,-3.867084
50.266809,-3.867089
50.266832,-3.867161
50.266877,-3.867224
50.266921,-3.867280
50.266965,-3.867336
50.267017,-3.867392
50.267056,-3.867451
50.267089,-3.867501
50.267126,-3.867553
50.267168,-3.867589
50.267212,-3.867626
50.267253,-3.867665
50.267300,-3.867698
50.267343,-3.867725
50.267391,-3.867753
50.267435,-3.867813
50.267446,-3.867904
50.267451,-3.867975
50.267455,-3.868059
50.267468,-3.868150
50.267485,-3.868218
50.267500,-3.868301
50.267528,-3.868364
50.267581,-3.868414
50.267629,-3.868455
50.267670,-3.868486
50.267712,-3.868545
50.267743,-3.868612
50.267773,-3.868683
50.267802,-3.868741
50.267835,-3.868799
50.267854,-3.868873
50.267887,-3.868943
50.267926,-3.869008
50.267967,-3.869052
50.268011,-3.869079
50.268053,-3.869105
50.268101,-3.869147
50.268134,-3.869217
50.268168,-3.869286
50.268207,-3.869335
50.268239,-3.869388
50.268272,-3.869439
50.268300,-3.869508
50.268334,-3.869562
50.268374,-3.869627
50.268406,-3.869680
50.268436,-3.869751
50.268456,-3.869819
50.268484,-3.869904
50.268509,-3.869963
50.268536,-3.870035
50.268575,-3.870109
50.268604,-3.870180
50.268635,-3.870240
50.268653,-3.870318
50.268672,-3.870388
50.268691,-3.870475
