lat,lon
50.3444406,-3.5621857
50.3444083,-3.5620601
50.3443881,-3.5620226
50.3442977,-3.5619600
50.3442585,-3.5619105
50.3442017,-3.5617942
50.3441532,-3.5617387
50.3438921,-3.5615140
50.3437807,-3.5613223
50.3437431,-3.5612839
50.3436985,-3.5611214
50.3436346,-3.5609840
50.3435771,-3.5608052
50.3435644,-3.5607255
50.3435633,-3.5605618
50.3435387,-3.5605290
50.3434626,-3.5607658
50.3434162,-3.5608085
50.3434239,-3.5608734
50.3434404,-3.5608367
50.3434764,-3.5608244
50.3435239,-3.5607033
50.3435415,-3.5605659
50.3435760,-3.5606170
50.3435545,-3.5606548
50.3435431,-3.5606442
50.3435458,-3.5606606
50.3436166,-3.5606288
50.3436308,-3.5605321
50.3435946,-3.5604985
50.3435732,-3.5603577
50.3435573,-3.5603251
50.3434981,-3.5602283
50.3434348,-3.5601666
50.3434377,-3.5601401
50.3433796,-3.5599971
50.3433071,-3.5598923
50.3433042,-3.5599165
50.3432819,-3.5599315
50.3432943,-3.5598680
50.3432188,-3.5596730
50.3431054,-3.5596058
50.3430141,-3.5597633
50.3428211,-3.5602143
50.3428094,-3.5603099
50.3428147,-3.5603803
50.3429132,-3.5601514
50.3429705,-3.5599112
50.3429778,-3.5597999
50.3430214,-3.5596760
50.3430698,-3.5595987
50.3431218,-3.5594660
50.3430900,-3.5592093
50.3430741,-3.5582445
50.3403336,-3.5516428
50.3403679,-3.5507821
50.3403276,-3.5509188
50.3402895,-3.5508220
50.3402899,-3.5503466
50.3402430,-3.5504390
50.3402163,-3.5503471
50.3402054,-3.5501881
50.3402644,-3.5473274
50.3419512,-3.5432626
50.3434812,-3.5399757
50.3419512,-3.5432626
50.3648087,-3.5554622
50.3526129,-3.5739861
50.3437257,-3.5584315
50.3435924,-3.5581652
50.3434822,-3.5580030
50.3434377,-3.5578846
50.3434324,-3.5578091
50.3434479,-3.5578058
50.3434436,-3.5577829
50.3434590,-3.5577685
50.3435019,-3.5576504
50.3434949,-3.5576184
50.3434645,-3.5575808
50.3434959,-3.5574365
50.3435130,-3.5574549
50.3435105,-3.5574673
50.3434950,-3.5574515
50.3434898,-3.5574728
50.3434799,-3.5574421
50.3434504,-3.5574375
50.3434389,-3.5574677
50.3434376,-3.5574274
50.3434552,-3.5573807
50.3434526,-3.5573130
50.3434355,-3.5572962
50.3434131,-3.5573316
50.3434266,-3.5573415
50.3434810,-3.5572233
50.3434767,-3.5571941
50.3434347,-3.5571937
50.3434242,-3.5571674
50.3434720,-3.5571104
50.3434894,-3.5570649
50.3436910,-3.5561938
50.3437035,-3.5560872
50.3436825,-3.5561405
50.3435844,-3.5567117
50.3435426,-3.5568896
50.3435227,-3.5569032
50.3435181,-3.5569490
50.3434868,-3.5569670
50.3434856,-3.5569892
50.3435135,-3.5568347
50.3435009,-3.5567833
50.3434769,-3.5567600
50.3434699,-3.5567150
50.3435058,-3.5566369
50.3435138,-3.5564837
50.3435363,-3.5563905
50.3435556,-3.5563686
50.3435773,-3.5563739
50.3435165,-3.5564513
50.3435998,-3.5565093
50.3435948,-3.5564931
50.3435340,-3.5564746
50.3435316,-3.5564994
50.3434690,-3.5565676
50.3434220,-3.5565693
50.3433553,-3.5566073
50.3432984,-3.5566024
50.3432731,-3.5566434
50.3432459,-3.5566452
50.3431799,-3.5567487
50.3431149,-3.5566926
50.3430237,-3.5566820
50.3429998,-3.5566996
50.3429919,-3.5567406
50.3429279,-3.5568081
50.3429410,-3.5568240
50.3429376,-3.5567872
50.3428903,-3.5567555
50.3428365,-3.5567805
50.3428435,-3.5567926
50.3428324,-3.5567724
50.3428363,-3.5567310
50.3428477,-3.5567467
50.3427957,-3.5567793
50.3428065,-3.5568161
50.3428139,-3.5567966
50.3428375,-3.5568129
50.3428323,-3.5568526
50.3428171,-3.5568607
50.3428580,-3.5568212
50.3427832,-3.5566569
50.3426349,-3.5562356
50.3409286,-3.5517098
50.3409209,-3.5517779
50.3411289,-3.5524274
50.3414838,-3.5537183
50.3415805,-3.5539885
50.3418611,-3.5546457
50.3416384,-3.5546571
50.3413708,-3.5545536
50.3411209,-3.5541560
50.3406227,-3.5534184
50.3397563,-3.5529453
50.3393426,-3.5526948
50.3391560,-3.5527311
50.3388859,-3.5524900
50.3387729,-3.5525022
50.3390242,-3.5525848
50.3396681,-3.5529593
50.3401028,-3.5532512
50.3402260,-3.5533771
50.3403316,-3.5534507
50.3406274,-3.5536162
50.3407593,-3.5536311
50.3410961,-3.5535463
50.3411357,-3.5534869
50.3411380,-3.5535223
50.3413913,-3.5533804
50.3415053,-3.5532856
50.3416625,-3.5531088
50.3418132,-3.5529077
50.3417149,-3.5529964
50.3418435,-3.5528655
50.3418511,-3.5528050
50.3417787,-3.5526521
50.3417757,-3.5526101
50.3418327,-3.5525748
50.3418733,-3.5523990
50.3418970,-3.5523540
50.3419063,-3.5523456
50.3419583,-3.5523838
50.3419064,-3.5524091
50.3418491,-3.5524069
50.3417406,-3.5523476
50.3416642,-3.5520865
50.3416596,-3.5519560
50.3416271,-3.5517126
50.3419742,-3.5514092
50.3421760,-3.5515049
50.3426284,-3.5523881
50.3428789,-3.5527161
50.3428811,-3.5527445
50.3431624,-3.5530958
50.3432568,-3.5532412
50.3432740,-3.5532907
50.3432733,-3.5533305
50.3433926,-3.5533992
50.3434157,-3.5534320
50.3434160,-3.5534611
50.3434164,-3.5534205
50.3434848,-3.5533686
50.3434799,-3.5533462
50.3434979,-3.5533052
50.3435560,-3.5532335
50.3435678,-3.5528363
50.3436156,-3.5527419
50.3436369,-3.5526113
50.3436640,-3.5525996
50.3437134,-3.5526323
50.3437334,-3.5526227
50.3437534,-3.5524114
50.3437483,-3.5525769
50.3437507,-3.5524272
50.3437019,-3.5521795
50.3437030,-3.5521489
50.3437267,-3.5521117
50.3438144,-3.5521322
50.3438353,-3.5521103
50.3438612,-3.5520317
50.3439140,-3.5520773
50.3439181,-3.5520534
50.3440045,-3.5520482
50.3441095,-3.5520026
50.3441886,-3.5520009
50.3442156,-3.5520164
50.3442191,-3.5520823
50.3442708,-3.5521056
50.3443061,-3.5521600
50.3443155,-3.5521681
50.3443446,-3.5521258
50.3444231,-3.5521614
50.3444445,-3.5521861
50.3444656,-3.5522595
50.3444922,-3.5522842
50.3444979,-3.5522687
50.3444599,-3.5522995
50.3444765,-3.5522985
50.3444951,-3.5522194
50.3443960,-3.5521717
50.3443568,-3.5520890
50.3443237,-3.5520610
50.3443296,-3.5520784
50.3443975,-3.5521513
50.3443594,-3.5520812
50.3443802,-3.5520037
50.3443689,-3.5518916
50.3443653,-3.5519383
50.3442545,-3.5522326
50.3441325,-3.5526127
50.3437861,-3.5537942
50.3436764,-3.5539345
50.3436490,-3.5540010
50.3436381,-3.5541295
50.3436134,-3.5541621
50.3435460,-3.5543721
50.3434836,-3.5545881
50.3434655,-3.5547035
50.3434120,-3.5548108
50.3433396,-3.5550107
50.3432991,-3.5549978
50.3432646,-3.5550094
50.3432690,-3.5549809
50.3432908,-3.5549581
50.3433112,-3.5550052
50.3432932,-3.5550209
50.3432863,-3.5549842
50.3432908,-3.5549949
50.3432267,-3.5549634
50.3431940,-3.5549679
50.3431917,-3.5549438
50.3432076,-3.5549069
50.3431926,-3.5549134
50.3431557,-3.5548760
50.3431381,-3.5548309
50.3431252,-3.5548869
50.3430832,-3.5548585
50.3430423,-3.5548003
50.3430273,-3.5548314
50.3430133,-3.5548311
50.3429502,-3.5547856
50.3428863,-3.5547891
50.3428615,-3.5547204
50.3428129,-3.5547103
50.3427773,-3.5546687
50.3427506,-3.5546116
50.3427346,-3.5546088
50.3426710,-3.5544718
50.3426002,-3.5544120
50.3426252,-3.5543409
50.3426481,-3.5543514
50.3426860,-3.5542508
50.3426890,-3.5541357
50.3426689,-3.5540053
50.3426809,-3.5539610
50.3427057,-3.5540088
50.3427161,-3.5540952
50.3427034,-3.5542112
50.3426694,-3.5542484
50.3426213,-3.5542767
50.3425744,-3.5542618
50.3425420,-3.5542177
50.3425321,-3.5542276
50.3425603,-3.5543235
50.3425401,-3.5543435
50.3424636,-3.5543301
50.3424139,-3.5543795
50.3423670,-3.5543387
50.3422290,-3.5543084
50.3421807,-3.5541977
50.3421448,-3.5540591
50.3421620,-3.5538990
