date,time,lat,lon,ele
2022-03-24,11:44:17.000,50.5900721,-2.0375643,44
2022-03-24,11:44:22.000,50.5900231,-2.0375340,44
2022-03-24,11:44:27.000,50.5899691,-2.0374940,44
2022-03-24,11:44:32.000,50.5899165,-2.0374494,44
2022-03-24,11:44:37.000,50.5898695,-2.0374047,44
2022-03-24,11:44:42.000,50.5898308,-2.0373629,43
2022-03-24,11:44:47.000,50.5897822,-2.0372957,43
2022-03-24,11:44:52.000,50.5897413,-2.0372213,42
2022-03-24,11:44:57.000,50.5897019,-2.0371404,42
2022-03-24,11:45:02.000,50.5896594,-2.0370594,42
2022-03-24,11:45:07.000,50.5896188,-2.0369880,41
2022-03-24,11:45:12.000,50.5895757,-2.0369070,41
2022-03-24,11:45:17.000,50.5895437,-2.0368375,40
2022-03-24,11:45:22.000,50.5895036,-2.0367653,40
2022-03-24,11:45:27.000,50.5894497,-2.0367189,40
2022-03-24,11:45:32.000,50.5893983,-2.0366790,39
2022-03-24,11:45:37.000,50.5893370,-2.0366366,39
2022-03-24,11:45:42.000,50.5892819,-2.0366052,38
2022-03-24,11:45:47.000,50.5892152,-2.0365902,38
2022-03-24,11:45:52.000,50.5891490,-2.0365839,37
2022-03-24,11:45:57.000,50.5890846,-2.0365812,36
2022-03-24,11:46:02.000,50.5890207,-2.0366001,36
2022-03-24,11:46:07.000,50.5889619,-2.0366346,35
2022-03-24,11:46:12.000,50.5888982,-2.0366889,35
2022-03-24,11:46:17.000,50.5888444,-2.0367381,34
2022-03-24,11:46:22.000,50.5887897,-2.0368022,34
2022-03-24,11:46:27.000,50.5887454,-2.0368615,34
2022-03-24,11:46:32.000,50.5887013,-2.0369302,33
2022-03-24,11:46:37.000,50.5886525,-2.0369951,33
2022-03-24,11:46:42.000,50.5885886,-2.0370594,33
2022-03-24,11:46:47.000,50.5885392,-2.0371169,33
2022-03-24,11:46:52.000,50.5884929,-2.0371812,33
2022-03-24,11:46:57.000,50.5884462,-2.0372460,32
2022-03-24,11:47:02.000,50.5883865,-2.0373085,32
2022-03-24,11:47:07.000,50.5883284,-2.0373631,32
2022-03-24,11:47:12.000,50.5882575,-2.0373960,31
2022-03-24,11:47:17.000,50.5881952,-2.0374096,31
2022-03-24,11:47:22.000,50.5881267,-2.0374265,31
2022-03-24,11:47:27.000,50.5880658,-2.0374565,30
2022-03-24,11:47:32.000,50.5880100,-2.0374871,30
2022-03-24,11:47:37.000,50.5879535,-2.0375194,29
2022-03-24,11:47:42.000,50.5878924,-2.0375451,29
2022-03-24,11:47:47.000,50.5878268,-2.0375592,29
2022-03-24,11:47:52.000,50.5877681,-2.0375620,28
2022-03-24,11:47:57.000,50.5877059,-2.0375658,28
2022-03-24,11:48:02.000,50.5876491,-2.0375686,28
2022-03-24,11:48:07.000,50.5875931,-2.0375735,27
2022-03-24,11:48:12.000,50.5875369,-2.0375673,26
2022-03-24,11:48:17.000,50.5874612,-2.0375384,26
2022-03-24,11:48:22.000,50.5873891,-2.0375074,26
2022-03-24,11:48:27.000,50.5873197,-2.0374821,25
2022-03-24,11:48:32.000,50.5872592,-2.0374717,25
2022-03-24,11:48:37.000,50.5872035,-2.0374620,25
2022-03-24,11:48:42.000,50.5871321,-2.0374519,24
2022-03-24,11:48:47.000,50.5870680,-2.0374401,24
2022-03-24,11:48:52.000,50.5870234,-2.0374395,24
2022-03-24,11:48:57.000,50.5869667,-2.0374380,24
2022-03-24,11:49:02.000,50.5869223,-2.0374278,23
2022-03-24,11:49:07.000,50.5868589,-2.0374054,23
2022-03-24,11:49:12.000,50.5867803,-2.0373810,23
2022-03-24,11:49:17.000,50.5867313,-2.0373843,23
2022-03-24,11:49:22.000,50.5866584,-2.0373887,23
2022-03-24,11:49:27.000,50.5865842,-2.0373864,23
2022-03-24,11:49:32.000,50.5865236,-2.0373954,22
2022-03-24,11:49:37.000,50.5864706,-2.0373963,22
2022-03-24,11:49:42.000,50.5864091,-2.0373971,22
2022-03-24,11:49:47.000,50.5863511,-2.0373969,22
2022-03-24,11:49:52.000,50.5862831,-2.0373833,22
2022-03-24,11:49:57.000,50.5862197,-2.0374027,22
2022-03-24,11:50:02.000,50.5861680,-2.0374373,22
2022-03-24,11:50:07.000,50.5861046,-2.0374709,22
2022-03-24,11:50:12.000,50.5860506,-2.0374935,22
2022-03-24,11:50:17.000,50.5860086,-2.0374908,22
2022-03-24,11:50:22.000,50.5859745,-2.0374483,22
2022-03-24,11:50:27.000,50.5859537,-2.0373848,22
2022-03-24,11:50:32.000,50.5859150,-2.0373080,22
2022-03-24,11:50:37.000,50.5858709,-2.0372403,22
2022-03-24,11:50:42.000,50.5858375,-2.0371612,21
2022-03-24,11:50:47.000,50.5857988,-2.0370717,21
2022-03-24,11:50:52.000,50.5857616,-2.0369824,20
2022-03-24,11:50:57.000,50.5857414,-2.0369084,20
2022-03-24,11:51:02.000,50.5857115,-2.0368281,20
2022-03-24,11:51:07.000,50.5856808,-2.0367528,20
